OMS_SKU,2026-07-30
1080YKLEMON-L,14
1080YKLEMON-M,62
1080YKLEMON-S,76
1080YKLEMON-XL,45
1080YKLEMON-XS,19
1080YKLEMON-XXL,75
1081YKYELLOW-L,1
1081YKYELLOW-M,0
1081YKYELLOW-S,0
1081YKYELLOW-XL,1
1081YKYELLOW-XXL,2
1082YKPINK-3XL,0
1082YKPINK-4XL,2
1082YKPINK-5XL,0
1082YKPINK-L,21
1082YKPINK-M,12
1082YKPINK-S,17
1082YKPINK-XL,10
1082YKPINK-XXL,0
1083YKBLUE-3XL,1
1083YKBLUE-L,0
1083YKBLUE-M,0
1083YKBLUE-S,0
1083YKBLUE-XL,0
1083YKBLUE-XXL,0
1084YKSTRIPE-S,0
1084YKSTRIPE-XL,0
1084YKSTRIPE-XXL,0
1085YKPINK-3XL,13
1085YKPINK-4XL,21
1085YKPINK-5XL,14
1085YKPINK-6XL,28
1085YKPINK-7XL,25
1085YKPINK-8XL,22
1085YKPINK-L,45
1085YKPINK-M,40
1085YKPINK-S,7
1085YKPINK-XL,86
1085YKPINK-XS,9
1085YKPINK-XXL,5
1086YKSKYBLUE-L,0
1086YKSKYBLUE-M,1
1086YKSKYBLUE-S,1
1086YKSKYBLUE-XL,0
1086YKSKYBLUE-XXL,0
1087YKINDIGO-L,0
1087YKINDIGO-M,0
1087YKINDIGO-S,1
1088YKBLUE-L,0
1088YKBLUE-M,0
1088YKBLUE-S,0
1088YKBLUE-XL,0
1088YKBLUE-XXL,0
1089YKGREEN-3XL,0
1089YKGREEN-4XL,0
1089YKGREEN-5XL,0
1089YKGREEN-L,0
1089YKGREEN-M,4
1089YKGREEN-S,11
1089YKGREEN-XL,0
1089YKGREEN-XXL,0
108KD148PINKRAY-11-12,0
108KD148PINKRAY-9-10,0
108YK148PINKRAY-3XL,51
108YK148PINKRAY-4XL,81
108YK148PINKRAY-5XL,74
108YK148PINKRAY-6XL,48
108YK148PINKRAY-7XL,22
108YK148PINKRAY-8XL,14
108YK148PINKRAY-L,35
108YK148PINKRAY-M,26
108YK148PINKRAY-S,44
108YK148PINKRAY-XL,29
108YK148PINKRAY-XS,15
108YK148PINKRAY-XXL,32
1090YKCREAM-L,12
1090YKCREAM-M,9
1090YKCREAM-S,10
1090YKCREAM-XL,1
1090YKCREAM-XXL,4
1090YKORANGE-3XL,0
1090YKORANGE-XXL,0
1091KDPURPLE-11-12,0
1091KDPURPLE-13-14,0
1091KDPURPLE-7-8,6
1091KDPURPLE-9-10,0
1091YKPURPLE-3XL,2
1091YKPURPLE-4XL,3
1091YKPURPLE-5XL,0
1091YKPURPLE-6XL,1
1091YKPURPLE-7XL,4
1091YKPURPLE-8XL,2
1091YKPURPLE-L,1
1091YKPURPLE-M,1
1091YKPURPLE-S,3
1091YKPURPLE-XL,0
1091YKPURPLE-XS,18
1091YKPURPLE-XXL,0
1092YKPEACH-3XL,0
1092YKPEACH-4XL,0
1092YKPEACH-5XL,0
1092YKPEACH-L,0
1092YKPEACH-M,0
1092YKPEACH-S,1
1092YKPEACH-XL,0
1092YKPEACH-XXL,0
1093YKCOWL-L,0
1093YKCOWL-M,0
1093YKCOWL-S,0
1093YKCOWL-XL,0
1093YKCOWL-XXL,0
1095YKRED-L,0
1095YKRED-M,0
1095YKRED-S,0
1095YKRED-XL,0
1095YKRED-XXL,0
1096YKBLUE-3XL,141
1096YKBLUE-4XL,24
1096YKBLUE-5XL,86
1096YKBLUE-6XL,52
1096YKBLUE-7XL,45
1096YKBLUE-8XL,14
1096YKBLUE-L,22
1096YKBLUE-M,228
1096YKBLUE-S,50
1096YKBLUE-XL,6
1096YKBLUE-XS,50
1096YKBLUE-XXL,9
1097YKGREEN-L,0
1097YKGREEN-M,2
1097YKGREEN-S,2
1097YKGREEN-XL,0
1098YKBLACK-L,0
1098YKBLACK-S,0
1098YKBLACK-XL,0
1099YKRED-L,0
1099YKRED-M,0
1099YKRED-S,0
1099YKRED-XXL,0
1101YKBLUE-3XL,0
1101YKBLUE-L,0
1101YKBLUE-M,0
1101YKBLUE-S,1
1101YKBLUE-XL,0
1101YKBLUE-XXL,0
1102YKPINK-3XL,0
1102YKPINK-L,0
1102YKPINK-M,0
1102YKPINK-S,0
1102YKPINK-XL,0
1103YKPURPLE-3XL,0
1103YKPURPLE-4XL,0
1103YKPURPLE-5XL,0
1103YKPURPLE-L,0
1103YKPURPLE-M,0
1103YKPURPLE-S,0
1103YKPURPLE-XL,0
1103YKPURPLE-XXL,0
1104YKINDIGO-L,0
1104YKINDIGO-M,0
1104YKINDIGO-S,0
1104YKINDIGO-XL,0
1105YKBLUE-L,0
1105YKBLUE-S,0
1106YKBLUE-3XL,10
1106YKBLUE-4XL,35
1106YKBLUE-5XL,41
1106YKBLUE-6XL,13
1106YKBLUE-7XL,9
1106YKBLUE-8XL,10
1106YKBLUE-L,4
1106YKBLUE-M,11
1106YKBLUE-S,39
1106YKBLUE-XL,12
1106YKBLUE-XS,7
1106YKBLUE-XXL,46
1107YKPURPLE-4XL,0
1107YKPURPLE-L,1
1107YKPURPLE-M,0
1107YKPURPLE-S,2
1107YKPURPLE-XL,1
1107YKPURPLE-XS,0
1107YKPURPLE-XXL,0
1108YKYELLOW-L,0
1108YKYELLOW-M,0
1108YKYELLOW-S,0
1108YKYELLOW-XL,0
1108YKYELLOW-XS,0
1109YKMUSTARD-M,0
1109YKMUSTARD-S,1
1109YKMUSTARD-XL,0
1109YKMUSTARD-XXL,0
110YK239WHITE-L,1
110YK239WHITE-M,1
110YK239WHITE-S,1
110YK239WHITE-XL,1
110YK239WHITE-XXL,0
1110YKPINK-3XL,0
1110YKPINK-L,0
1110YKPINK-M,4
1110YKPINK-S,8
1110YKPINK-XL,0
1110YKPINK-XXL,0
1112DPT21MULTI-3XL,64
1112DPT21MULTI-4XL,86
1112DPT21MULTI-5XL,93
1112DPT21MULTI-6XL,6
1112DPT21MULTI-7XL,4
1112DPT21MULTI-8XL,7
1112DPT21MULTI-L,94
1112DPT21MULTI-M,57
1112DPT21MULTI-S,46
1112DPT21MULTI-XL,92
1112DPT21MULTI-XS,66
1112DPT21MULTI-XXL,85
1112KDBLACK-11-12,3
1112KDBLACK-13-14,0
1112KDBLACK-7-8,17
1112KDBLACK-9-10,13
1112YKBLACK-3XL,70
1112YKBLACK-4XL,96
1112YKBLACK-5XL,103
1112YKBLACK-6XL,9
1112YKBLACK-7XL,9
1112YKBLACK-8XL,10
1112YKBLACK-L,101
1112YKBLACK-M,64
1112YKBLACK-S,52
1112YKBLACK-XL,97
1112YKBLACK-XS,70
1112YKBLACK-XXL,91
1113YKSEAGREEN-L,0
1113YKSEAGREEN-M,1
1113YKSEAGREEN-S,2
1113YKSEAGREEN-XL,0
1113YKSEAGREEN-XXL,0
1114YKBLACK-L,0
1114YKBLACK-M,0
1114YKBLACK-XL,0
1114YKBLACK-XXL,0
1115YKBLUE-3XL,0
1115YKBLUE-4XL,0
1115YKBLUE-5XL,0
1115YKBLUE-L,0
1115YKBLUE-M,14
1115YKBLUE-S,24
1115YKBLUE-XL,0
1115YKBLUE-XXL,0
1117YKBLUE-L,0
1117YKBLUE-M,0
1117YKBLUE-S,0
1117YKBLUE-XL,0
1118YKGREEN-3XL,0
1118YKGREEN-L,0
1118YKGREEN-M,4
1118YKGREEN-S,14
1118YKGREEN-XL,0
1118YKGREEN-XXL,0
1119YKBLUE-3XL,0
1119YKBLUE-4XL,0
1119YKBLUE-5XL,0
1119YKBLUE-L,0
1119YKBLUE-M,2
1119YKBLUE-S,0
1119YKBLUE-XL,0
1119YKBLUE-XXL,0
1119YKCMB5010-3XL,0
1119YKCMB5010-4XL,0
1119YKCMB5010-5XL,0
1119YKCMB5010-L,0
1119YKCMB5010-L_MYNTRA,0
1119YKCMB5010-M,2
1119YKCMB5010-M_MYNTRA,0
1119YKCMB5010-S,0
1119YKCMB5010-S_MYNTRA,0
1119YKCMB5010-XL,0
1119YKCMB5010-XL_MYNTRA,0
1119YKCMB5010-XXL,0
1119YKCMB5010-XXL_MYNTRA,0
1119YKMB5010-M,0
1120YKBLUE-L,7
1120YKBLUE-M,4
1120YKBLUE-S,5
1120YKBLUE-XL,3
1120YKBLUE-XXL,1
1121YKPINK-3XL,0
1121YKPINK-L,0
1121YKPINK-M,0
1121YKPINK-S,0
1121YKPINK-XL,0
1121YKPINK-XXL,0
1122YKYELLOW-3XL,0
1122YKYELLOW-L,9
1122YKYELLOW-M,26
1122YKYELLOW-S,23
1122YKYELLOW-XL,3
1122YKYELLOW-XXL,1
1123YKBLUE-L,0
1123YKBLUE-M,0
1123YKBLUE-S,0
1123YKBLUE-XL,0
1123YKBLUE-XXL,0
1124YKPINK-L,0
1124YKPINK-M,6
1124YKPINK-S,12
1124YKPINK-XL,0
1124YKPINK-XXL,0
1125YKGREEN-L,0
1125YKGREEN-M,0
1125YKGREEN-S,0
1125YKGREEN-XL,0
1125YKGREEN-XS,0
1125YKGREEN-XXL,0
1126YKTEAL-4XL,0
1126YKTEAL-L,0
1126YKTEAL-M,0
1126YKTEAL-S,1
1126YKTEAL-XL,0
1126YKTEAL-XXL,0
1127YKMAROON-3XL,14
1127YKMAROON-4XL,106
1127YKMAROON-5XL,12
1127YKMAROON-6XL,106
1127YKMAROON-7XL,51
1127YKMAROON-8XL,57
1127YKMAROON-L,26
1127YKMAROON-M,79
1127YKMAROON-S,58
1127YKMAROON-XL,45
1127YKMAROON-XS,88
1127YKMAROON-XXL,199
1128YKPINK-L,0
1128YKPINK-M,0
1128YKPINK-S,0
1128YKPINK-XL,0
1128YKPINK-XXL,0
1129YKBLUE-3XL,4
1129YKBLUE-4XL,0
1129YKBLUE-5XL,1
1129YKBLUE-6XL,0
1129YKBLUE-7XL,0
1129YKBLUE-8XL,0
1129YKBLUE-L,7
1129YKBLUE-M,8
1129YKBLUE-S,9
1129YKBLUE-XL,0
1129YKBLUE-XS,0
1129YKBLUE-XXL,2
112YK242MAROON-M,0
112YK242MAROON-S,0
112YK242MAROON-XL,0
1130YKPURPLE-3XL,148
1130YKPURPLE-4XL,165
1130YKPURPLE-5XL,165
1130YKPURPLE-6XL,74
1130YKPURPLE-7XL,68
1130YKPURPLE-8XL,61
1130YKPURPLE-L,63
1130YKPURPLE-M,50
1130YKPURPLE-S,19
1130YKPURPLE-XL,86
1130YKPURPLE-XS,12
1130YKPURPLE-XXL,126
1131YKPURPLE-L,0
1131YKPURPLE-M,0
1131YKPURPLE-S,0
1131YKPURPLE-XL,0
1131YKPURPLE-XXL,0
1132YKYELLOW-L,0
1132YKYELLOW-XL,0
1132YKYELLOW-XXL,0
1133YKBLACK-3XL,0
1133YKBLACK-4XL,0
1133YKBLACK-5XL,0
1133YKBLACK-L,0
1133YKBLACK-M,0
1133YKBLACK-S,0
1133YKBLACK-XL,0
1133YKBLACK-XXL,0
1134YKPINK-L,0
1134YKPINK-M,0
